Headline,Points,Author,Age,Comments,rank
Show HN: Code Calendar â€“ open-source app to keep track of coding contests,4,stackbuffer,11 hours ago,0 comments,16
Show HN: WakeMeOps â€“ A Debian/Ubuntu repo for popular DevOps tools and more,4,fyhertz,13 hours ago,0 comments,18
Ask HN: Will we ever be able to recover BitTorrent files from the piece hashes?,3,jonesnc,3 hours ago,5 comments,6
Ask HN: Decryption with Pen and Paper,3,daenz,3 hours ago,0 comments,8
Ask HN: Whats the most underrated city in the world?,3,f0e4c2f7,1 hour ago,0 comments,10
"Show HN: Spectra review paper competition, prizes up to $10k",3,kait_m_cunn,3 hours ago,0 comments,10
"CS graduate from the US moving to the Middle East, what are my opportunities?",3,obitar,4 hours ago,6 comments,17
Show HN: Think Ahead Chess â€“ A chess variant with n turns of incomplete info,3,miej,8 hours ago,7 comments,19
Ask HN: Would you pay for a news pass?,3,sharemywin,6 hours ago,5 comments,23
Show HN: CreatorKit â€“ First video creator purpose-built for ecommerce,3,knatanzon,15 hours ago,0 comments,30
Show HN: AutoPause (With Resume and Media Controls),2,ndevtk,6 minutes ago,0 comments,2
Show HN: Webapp to generate colorful QR codes,2,kith,3 hours ago,0 comments,8
Show HN: Bezier Curve Generator from Letters,2,enzo_m,3 hours ago,0 comments,9
"Show HN: Reactirator, a desktop app to create and manage React.js applications",2,Leopold_,4 hours ago,0 comments,12
Show HN: Testing Library Visualizer,2,mdbenjam,5 hours ago,0 comments,14
Ask HN: Disable GitHub Mention/Resets,2,srvmshr,5 hours ago,0 comments,20
"Show HN: Limiter, a low-code solution to set up and enforce subscription limits",2,sssslyz,9 hours ago,0 comments,20
Show HN: Render Jupyter Notebooks in your terminal,2,pickleMeTimbers,10 hours ago,0 comments,21
Show HN: Transform your product catalog to payment links,2,sebrindom,10 hours ago,0 comments,22
Show HN: Datetime.tools â€“ convenient date and time conversions,2,uiii,11 hours ago,0 comments,24
Show HN: Vapor Chat. Chat Room for Everything Vaporwave,2,ptskd,14 hours ago,0 comments,29
Finley (YC W21) is hiring to build B2B fintech software (remote),0,not_defined,5 hours ago,0 comments,16
