,Headline,Points,Author,Age,Comments,rank
74,Show HN: Vault â€“ Sports bet data aggregation app,5,cdykema,11 hours ago,0 comments,4
75,Show HN: Benson.py turns URLs into mp3s â€“ take charge of your reading backlog!,5,timoteostewart,1 day ago,0 comments,24
76,What can I learn from dumb feedback on interview rejections?,4,grldd,1 hour ago,2 comments,4
77,Show HN: Scrt â€“ A secret manager for the command line,4,loderunnr,11 hours ago,0 comments,12
78,Tell HN: Confessions of a Prideful Junior Programmer,4,kbrannigan,6 hours ago,0 comments,14
79,Show HN: 3D Reconstructions of scenes from the war in Ukraine,4,thot_experiment,10 hours ago,0 comments,22
80,Ask HN: Which open-source projects do you give money to?,4,noja,3 hours ago,0 comments,28
81,Ask HN: How did you respond to finding school too easy?,4,rahimnathwani,10 hours ago,11 comments,29
82,Show HN: Front-End Best Practices Boilerplate and Course,3,pmouchan,2 hours ago,0 comments,3
83,"Show HN: App that scans food packaging for nutritions, allergens, origin etc.",3,FrankWeiss,10 hours ago,0 comments,10
84,Show HN: I published my toolbox as shared database on notion,3,namiheike,20 hours ago,0 comments,23
85,Ask HN: Is there any alternative to Codesandbox for TUI's?,2,modinfo,4 hours ago,0 comments,16
86,Ask HN: Did you know that your brain reads faster than your eye?,2,renato_casutt,5 hours ago,2 comments,18
87,Show HN: Collow â€“ Save time on your task management for software teams.,2,zhaozheid,15 hours ago,0 comments,19
88,Ask HN: How to explain that ML approach is not 100% perfect?,2,masterchief1s1k,5 hours ago,0 comments,21
89,Ashby (YC W19) is hiring. Build automation that saves recruiting teams and4h/day,0,not_defined,2 hours ago,0 comments,12
